iter	MultiClass
0	1.074144998
1	1.063668239
2	1.055051177
3	1.049414217
4	1.045593649
5	1.042688323
6	1.037816822
7	1.035131714
8	1.030217734
9	1.028606752
10	1.026094128
11	1.02334662
12	1.021736407
13	1.019565511
14	1.017916235
15	1.016120026
16	1.014449413
17	1.010872572
18	1.009869932
19	1.00795314
20	1.006061667
21	1.004472412
22	1.002700398
23	1.000522252
24	0.9982126283
25	0.9954359563
26	0.9940787157
27	0.9927691617
28	0.9915212589
29	0.9909773645
30	0.9886193418
31	0.9868981341
32	0.9854175182
33	0.9844835462
34	0.9826688011
35	0.980920187
36	0.9797921785
37	0.9792623805
38	0.9785710792
39	0.9777059274
40	0.9765510899
41	0.9744689278
42	0.9739395235
43	0.9729406278
44	0.9716684852
45	0.9706009829
46	0.9699882567
47	0.9689911331
48	0.967471114
49	0.9670307357
