iter	Passed	Remaining
0	151	7439
1	165	3961
2	176	2763
3	185	2137
4	194	1750
5	202	1484
6	209	1286
7	215	1130
8	220	1004
9	225	900
10	230	815
11	234	741
12	238	677
13	242	622
14	245	573
15	249	530
16	252	490
17	256	455
18	259	423
19	263	394
20	266	367
21	269	342
22	272	319
23	275	298
24	278	278
25	281	260
26	284	242
27	287	225
28	290	210
29	293	195
30	295	181
31	298	168
32	302	155
33	304	143
34	307	131
35	310	120
36	313	110
37	316	99
38	319	89
39	321	80
40	324	71
41	327	62
42	330	53
43	333	45
44	336	37
45	339	29
46	341	21
47	344	14
48	347	7
49	350	0
